 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.415  470.003  472.654  475.800  476.643  477.568
    0.453  470.004  472.711  475.832  476.668  477.586
    0.491  470.004  472.743  475.819  476.642  477.547
    0.529  470.004  472.748  475.753  476.558  477.442
    0.566  470.005  472.721  475.628  476.407  477.262
    0.604  470.005  472.667  475.456  476.203  477.023
    0.642  470.005  472.602  475.269  475.983  476.767
    0.680  470.006  472.525  475.063  475.743  476.489
    0.717  470.006  472.461  474.890  475.540  476.254
    0.755  470.006  472.475  474.876  475.519  476.224
    0.793  470.006  472.022  473.951  474.468  475.034
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.70   69.197  470.000  470.006  472.748  476.668
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.160  470.739  470.814  470.965
    0.076  470.000  470.714  472.768  473.034  473.570
    0.113  470.000  470.790  472.776  473.033  473.552
    0.151  470.000  470.883  472.898  473.158  473.685
    0.189  470.001  470.986  473.074  473.344  473.890
    0.227  470.001  471.088  473.256  473.536  474.103
    0.264  470.001  471.183  473.423  473.713  474.299
    0.302  470.001  471.271  473.574  473.872  474.474
    0.340  470.001  471.347  473.694  473.997  474.610
    0.378  470.001  471.409  473.779  474.085  474.704
    0.415  470.002  471.461  473.841  474.148  474.771
    0.453  470.002  471.493  473.853  474.158  474.776
    0.491  470.002  471.510  473.836  474.137  474.745
    0.529  470.002  471.513  473.786  474.080  474.674
    0.566  470.002  471.498  473.697  473.981  474.556
    0.604  470.003  471.468  473.578  473.850  474.401
    0.642  470.003  471.433  473.449  473.710  474.237
    0.680  470.003  471.390  473.310  473.558  474.059
    0.717  470.003  471.355  473.192  473.429  473.909
    0.755  470.003  471.363  473.178  473.413  473.888
    0.793  470.003  471.113  472.572  472.761  473.142
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.80   86.496  470.000  470.003  471.513  474.158
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.307  471.118  471.336  471.574
    0.076  470.000  471.373  474.248  475.019  475.864
    0.113  470.001  471.520  474.300  475.045  475.861
    0.151  470.001  471.697  474.518  475.274  476.103
    0.189  470.001  471.895  474.819  475.603  476.462
    0.227  470.002  472.092  475.127  475.941  476.833
    0.264  470.002  472.275  475.411  476.251  477.174
    0.302  470.002  472.445  475.669  476.532  477.481
    0.340  470.003  472.591  475.876  476.755  477.722
    0.378  470.003  472.710  476.027  476.915  477.891
    0.415  470.003  472.810  476.142  477.033  478.014
    0.453  470.004  472.870  476.175  477.060  478.033
    0.491  470.004  472.905  476.161  477.033  477.991
    0.529  470.005  472.910  476.092  476.944  477.880
    0.566  470.005  472.881  475.959  476.783  477.689
    0.604  470.005  472.824  475.777  476.567  477.436
    0.642  470.006  472.756  475.579  476.335  477.165
    0.680  470.006  472.674  475.361  476.081  476.871
    0.717  470.006  472.606  475.177  475.866  476.622
    0.755  470.006  472.620  475.163  475.843  476.591
    0.793  470.007  472.141  474.183  474.730  475.330
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.80   69.197  470.000  470.007  472.910  477.060
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.169  470.780  470.859  471.019
    0.076  470.000  470.754  472.922  473.202  473.768
    0.113  470.000  470.834  472.930  473.201  473.749
    0.151  470.000  470.932  473.059  473.334  473.889
    0.189  470.001  471.040  473.245  473.530  474.106
    0.227  470.001  471.148  473.437  473.733  474.331
    0.264  470.001  471.249  473.614  473.919  474.537
    0.302  470.001  471.342  473.773  474.087  474.722
    0.340  470.001  471.422  473.899  474.219  474.866
    0.378  470.002  471.488  473.988  474.311  474.965
    0.415  470.002  471.543  474.054  474.379  475.036
    0.453  470.002  471.576  474.067  474.389  475.041
    0.491  470.002  471.594  474.049  474.366  475.009
    0.529  470.002  471.597  473.996  474.306  474.934
    0.566  470.003  471.581  473.902  474.202  474.809
    0.604  470.003  471.550  473.776  474.064  474.646
    0.642  470.003  471.513  473.641  473.916  474.473
    0.680  470.003  471.468  473.494  473.755  474.285
    0.717  470.003  471.430  473.369  473.620  474.126
    0.755  470.003  471.438  473.355  473.603  474.104
    0.793  470.003  471.175  472.715  472.914  473.316
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.90   86.496  470.000  470.004  471.597  474.389
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.324  471.181  471.410  471.661
    0.076  470.000  471.449  474.484  475.298  476.190
    0.113  470.001  471.604  474.539  475.325  476.187
    0.151  470.001  471.792  474.769  475.567  476.442
    0.189  470.001  472.001  475.087  475.914  476.821
    0.227  470.002  472.208  475.412  476.271  477.213
    0.264  470.002  472.401  475.712  476.599  477.572
    0.302  470.002  472.581  475.984  476.895  477.896
    0.340  470.003  472.735  476.202  477.130  478.151
    0.378  470.003  472.861  476.362  477.299  478.329
    0.415  470.004  472.966  476.483  477.424  478.459
    0.453  470.004  473.030  476.518  477.452  478.479
    0.491  470.004  473.066  476.503  477.423  478.435
    0.529  470.005  473.072  476.430  477.329  478.318
    0.566  470.005  473.041  476.290  477.160  478.116
    0.604  470.006  472.981  476.098  476.932  477.849
    0.642  470.006  472.909  475.889  476.687  477.563
    0.680  470.006  472.822  475.659  476.418  477.253
    0.717  470.006  472.750  475.465  476.192  476.990
    0.755  470.007  472.766  475.449  476.168  476.957
    0.793  470.007  472.260  474.416  474.993  475.626
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.90   69.197  470.000  470.007  473.072  477.452
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.178  470.821  470.905  471.073
    0.076  470.000  470.793  473.075  473.370  473.967
    0.113  470.000  470.878  473.084  473.370  473.946
    0.151  470.000  470.981  473.220  473.509  474.094
    0.189  470.001  471.095  473.416  473.716  474.322
    0.227  470.001  471.209  473.618  473.929  474.559
    0.264  470.001  471.314  473.804  474.125  474.776
    0.302  470.001  471.413  473.971  474.302  474.971
    0.340  470.001  471.497  474.104  474.441  475.123
    0.378  470.002  471.566  474.198  474.538  475.227
    0.415  470.002  471.624  474.268  474.609  475.301
    0.453  470.002  471.658  474.281  474.620  475.306
    0.491  470.002  471.678  474.263  474.596  475.272
    0.529  470.002  471.681  474.207  474.533  475.193
    0.566  470.003  471.665  474.108  474.423  475.062
    0.604  470.003  471.632  473.975  474.278  474.891
    0.642  470.003  471.592  473.833  474.122  474.708
    0.680  470.003  471.545  473.678  473.953  474.511
    0.717  470.003  471.505  473.546  473.810  474.343
    0.755  470.003  471.514  473.531  473.792  474.320
    0.793  470.004  471.237  472.858  473.067  473.491
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     2.00   86.496  470.000  470.004  471.681  474.620
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
